,Unnamed: 0,acesBefore15Minutes,assists,baronTakedowns,bountyGold,champExperience,championId,damagePerMinute,deaths,doubleAces,earlyLaningPhaseGoldExpAdvantage ,firstTowerKill,firstTurretKilled,gameLength,inhibitorKills,kda,killParticipation,kills,landSkillShotsEarlyGame ,lane,longestTimeSpentLiving,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,multikills,score,score_diff,soloKills,takedowns,teamBaronKills,turretKills,turretPlatesTaken,turretTakedowns,turretsLost,win
34,34,0,11,1,150,14574,78,1119.8830665803875,6,0,,False,1,1592.4504740999998,0,3.0,0.45,7,,JUNGLE,485,49.0,6,3,0,9.75654318523934,5.149971117199158,5,18,1,1,3,5,2,True
391,391,0,6,0,0,9874,221,620.6422766436453,9,0,,False,0,1567.2761406,0,0.8888888888888888,0.3809523809523809,2,,BOTTOM,370,51.5,0,1,0,7.067214015352516,-6.808141963577924,0,8,0,1,2,1,9,False
34,34,0,14,2,450,15831,236,1217.136904751545,7,0,,False,1,1894.5725906,1,3.571428571428572,0.6097560975609756,11,,BOTTOM,327,93.00000002980232,9,2,3,10.0,6.401390199555323,0,25,2,3,3,6,5,True
173,173,0,13,0,0,13509,50,859.2522073684827,5,0,,False,0,1727.4294618,1,3.8,0.5,6,,BOTTOM,773,25.0,0,2,0,9.96739715333545,12.11728721624749,1,19,1,5,1,6,4,True
388,388,0,19,1,0,9597,497,359.41261393010205,3,0,,False,1,1488.4774696,0,7.666666666666667,0.4893617021276595,4,,BOTTOM,625,5.0,0,3,0,7.787916267092224,12.222507305745772,0,23,1,0,0,3,0,True
65,65,0,0,0,0,10689,122,827.2196029556827,11,0,,False,0,1593.9352119,0,0.8181818181818182,0.2647058823529412,9,,JUNGLE,272,6.0,0,1,2,6.606157254196834,-8.46832807443613,3,9,0,0,3,0,7,False
239,239,0,8,0,0,6521,12,237.48982412901728,6,0,,False,1,1483.9667067,0,1.6666666666666667,0.5263157894736842,2,,BOTTOM,596,4.0,0,1,0,5.791939941360146,-7.153440409893079,0,10,0,0,0,0,10,False
199,199,0,11,1,300,13782,50,670.5906924298089,3,0,,False,0,1706.9552175,1,6.666666666666667,0.5714285714285714,9,,BOTTOM,1023,33.900000005960464,5,2,0,10.0,2.306641425540903,1,20,1,2,3,6,7,True
338,338,0,17,0,825,18822,526,534.6782481145415,6,0,,False,0,2282.5860335,0,3.8333333333333335,0.71875,6,,JUNGLE,629,10.000000029802322,0,1,1,8.521449960794149,-4.82080374756346,0,23,1,0,0,0,10,False
21,21,0,3,0,0,7729,99,305.2201458416804,6,0,,False,1,1715.6636113,0,1.0,0.4,3,,BOTTOM,415,18.50000002980232,0,1,0,5.547098290658024,-10.974013542469663,0,6,0,1,3,2,10,False
4,4,0,16,0,300,15181,50,931.610546789516,3,0,,False,0,1568.4822111,0,8.666666666666666,0.7222222222222222,10,,BOTTOM,769,4.0,3,2,1,9.84706406079771,7.014871457050305,1,26,1,2,1,4,1,True
249,249,0,20,1,0,12871,111,281.32714467763947,7,0,,False,1,2096.7559179,0,3.142857142857143,0.5789473684210527,2,,BOTTOM,652,14.0,6,2,0,6.959847477534172,2.4855737743161868,0,22,1,1,0,1,6,True
9,9,0,5,0,1000,12174,163,589.2936179816131,4,0,,False,0,1493.657566,0,2.0,0.6666666666666666,3,,JUNGLE,635,29.950000017881397,0,1,0,8.824125088104488,-10.169640957472891,1,8,0,0,0,0,11,False
158,158,0,4,1,0,13580,145,891.4360507368555,1,0,,True,1,1616.2214718,0,11.0,0.55,7,,BOTTOM,1385,72.00000002980232,3,2,1,10.0,6.951183513998387,1,11,1,1,0,2,2,True
157,157,0,12,1,0,13519,50,728.4136051288193,3,0,,False,1,1545.7329761,1,7.0,0.65625,9,,TOP,610,12.0,0,2,1,9.884007196113531,4.898706967036759,1,21,1,1,1,5,2,True
132,132,0,8,2,0,14323,18,1648.812519551306,4,0,,False,1,1699.5897888,0,7.0,0.6086956521739131,20,,BOTTOM,557,6.000000029802322,0,1,5,9.944864674713664,5.236275318616031,0,28,2,2,4,3,2,True
339,339,0,8,0,650,11804,876,1348.412985382654,4,0,,False,0,1382.0636833,0,3.25,0.7222222222222222,5,,JUNGLE,713,29.20000010728836,0,2,1,9.114917663585905,-6.030357419877397,0,13,0,1,1,1,8,False
227,227,0,8,1,150,13526,523,771.7239697850157,5,0,,True,1,1617.0914109,0,3.8,0.4318181818181818,11,,BOTTOM,580,15.000000029802322,2,1,1,9.639022807425516,7.153219759966774,0,19,1,2,5,6,2,True
144,144,0,16,1,300,13802,50,659.5755689116651,2,0,,False,1,1632.0045834,0,9.5,0.59375,3,,BOTTOM,855,5.0,5,2,0,9.822332464006877,4.437734437532406,1,19,1,1,1,4,5,True
327,327,0,11,0,0,15187,147,325.1505642727888,3,0,,False,1,2010.0187491,0,5.0,0.5,4,,BOTTOM,740,4.0,6,1,0,9.170050273480072,3.3415467199587283,0,15,1,0,0,3,4,True
202,202,0,2,0,450,9690,110,745.3901510804802,6,0,,False,0,1623.8918196,0,2.0,0.5454545454545454,10,,BOTTOM,498,47.0,0,2,1,9.289126517801472,-6.736643916066903,0,12,0,0,2,0,8,False
172,172,0,18,0,0,8363,12,191.02214997619257,3,0,,False,1,1476.3842301999998,0,6.333333333333333,0.6333333333333333,1,,BOTTOM,519,6.0,1,1,0,6.947462474518526,6.801099552176893,0,19,0,0,0,1,2,True
403,403,0,17,1,0,11179,111,356.97891469443266,3,0,,False,0,1998.5744155,0,6.333333333333333,0.5428571428571428,2,,BOTTOM,1361,4.0,0,2,0,8.001446645133484,2.482556934736479,0,19,1,0,0,1,10,False
369,369,0,20,2,0,17977,50,928.051210275852,3,0,,False,0,1954.446043,1,9.0,0.7297297297297297,7,,MIDDLE,812,11.0,2,1,1,9.790827054169275,3.838771464497889,1,27,2,3,1,6,3,True
415,415,0,3,0,150,13560,134,971.9718069752626,3,0,,False,0,1570.3170558,0,3.333333333333333,0.4,7,,MIDDLE,1245,65.0,0,3,0,9.804033970276008,-0.4950322784927081,6,10,0,2,3,2,9,False
356,356,0,4,1,0,13580,145,891.4360507368555,1,0,,True,1,1616.2214718,0,11.0,0.55,7,,BOTTOM,1385,72.00000002980232,3,2,1,10.0,6.951183513998387,1,11,1,1,0,2,2,True
79,79,0,7,0,525,14959,81,1137.7944148013903,10,0,,False,1,2121.6920593,0,1.2,0.3529411764705882,5,,BOTTOM,370,36.0,0,1,2,8.242284162142969,-5.130755591787072,0,12,0,0,2,0,8,False
31,31,0,5,0,0,8457,50,507.1920420079624,5,0,,False,0,1471.4540131,0,1.6,0.5333333333333333,3,,BOTTOM,853,2.0,0,1,0,8.376118014895933,-7.749553861623461,0,8,0,0,0,0,7,False
86,86,0,3,0,0,7729,99,305.2201458416804,6,0,,False,1,1715.6636113,0,1.0,0.4,3,,BOTTOM,415,18.50000002980232,0,1,0,5.547098290658024,-10.974013542469663,0,6,0,1,3,2,10,False
210,210,0,8,1,375,13559,51,640.5511648524852,5,0,,False,1,1898.2990321,0,3.0,0.6,7,,BOTTOM,714,93.5499999821186,0,2,0,9.91655990332302,-1.2372417675367942,1,15,1,2,4,3,10,False
112,112,0,6,2,0,21542,887,1076.4088125011217,6,0,,False,1,1985.2972044,3,2.333333333333333,0.5,8,,JUNGLE,439,87.74999997019768,6,4,1,9.06773753634577,1.352333542035396,2,14,2,2,2,2,2,True
257,257,0,8,1,0,14524,200,565.9133647579331,2,0,,True,1,1438.8644064,2,8.0,0.4848484848484848,8,,JUNGLE,870,93.25000008940695,2,4,0,8.94863038479726,14.54852404827636,3,16,1,2,2,3,1,True
198,198,0,8,2,0,14323,18,1648.812519551306,4,0,,False,1,1699.5897888,0,7.0,0.6086956521739131,20,,BOTTOM,557,6.000000029802322,0,1,5,9.944864674713664,5.236275318616031,0,28,2,2,4,3,2,True
112,112,0,7,1,450,17150,221,1127.2913788298094,5,0,,False,0,2017.6430027,0,2.2,0.7857142857142857,4,,BOTTOM,716,62.0,0,2,1,9.666533864541831,-7.609720044640142,0,11,1,2,0,2,9,False
449,449,0,15,0,0,8022,40,267.1529874764521,9,0,,False,1,1507.6778603,0,2.111111111111111,0.76,4,,TOP,297,0.0,0,2,1,6.385695340816532,-7.48793918254453,0,19,0,0,1,1,10,False
283,283,0,5,0,150,11934,523,671.3795688488741,7,0,,False,1,1848.5815482,0,1.2857142857142858,0.3333333333333333,4,,BOTTOM,520,8.0,0,1,0,7.978740183307637,-0.2597719969068137,0,9,0,2,0,2,4,False
82,82,0,14,0,0,9948,32,306.704808652918,6,0,,False,0,1898.2990321,0,2.6666666666666665,0.5161290322580645,2,,BOTTOM,805,12.0,2,1,0,7.092945501448002,1.2372417675367942,0,16,1,0,0,3,6,True
71,71,0,15,1,150,12561,50,1125.6615585113086,6,0,,False,0,1587.148445,0,3.1666666666666665,0.9047619047619048,4,,BOTTOM,582,11.0,0,1,0,9.96176926174999,-6.697173793972702,1,19,1,0,1,1,10,False
13,13,0,17,1,0,11179,111,356.97891469443266,3,0,,False,0,1998.5744155,0,6.333333333333333,0.5428571428571428,2,,BOTTOM,1361,4.0,0,2,0,8.001446645133484,2.482556934736479,0,19,1,0,0,1,10,False
5,5,0,22,0,0,7787,117,322.29210545503594,12,0,,False,0,1540.6174079999998,0,1.8333333333333333,0.7586206896551724,0,,BOTTOM,304,6.0,0,1,0,6.038465652437871,-6.704348284218035,0,22,0,0,0,0,11,False
226,226,0,9,2,300,28227,18,1280.37178991598,4,0,,False,0,2233.211874,1,7.25,0.6590909090909091,20,,MIDDLE,770,152.80000001192093,3,4,5,10.0,6.568468237736283,5,29,2,7,6,9,5,True
91,91,0,12,2,750,17410,81,1455.0738501508404,3,0,,False,0,1886.1043331,0,8.666666666666666,0.7222222222222222,14,,BOTTOM,906,8.199999958276749,3,3,0,10.0,8.170107106530466,1,26,2,3,0,5,5,True
255,255,0,5,1,0,12341,200,650.267470630274,2,0,,False,1,1433.6362402,1,5.5,0.4782608695652174,6,,JUNGLE,824,45.80000019073486,2,2,1,9.289044774564788,8.482926400259196,0,11,1,2,0,3,4,True
